screen_name,followers_count,statuses_count,location,geo_enabled
msd_sudhan,0,0,,False
srinivagadde,1,0,,False
MohGD3ho3WSIohg,1,0,,False
SantoliyaSachin,0,0,,False
BagavantB,0,1,,False
AlzeyoudiOthman,1,0,,False
AliWatt68821015,2,0,,False
Dharmen90388033,1,2,,False
ajaykumarpatha,5,1,,False
NitirajSinghSh2,0,1,,False
Kumr4038,0,0,,False
PreetiSachan5,0,5,,False
DebRamendu,0,0,,False
MunaChoudhary4,0,1,,False
SajithNair0907,2,1,"Chennai, India",False
a3uJcaKykI3TsDy,0,0,,False
raju96012,0,0,"Surat, India",False
Raja46303852,2,0,"Alanganallur, India",False
AJAYKUM74166003,2,0,,False
DhanushpReddy1,1,0,,False
ArjunRathoor,2,0,,False
Deepaks33216560,0,0,,False
Faizank82176511,0,1,"New Delhi, India",False
rajdipii51,1,1,,False
VikasPa01522224,0,0,,False
TFDwork,0,0,,False
Jagangoudjb,1,0,,False
KuknaShrawan,1,0,,False
SarangPandit,25,17,"Pune, India",True
Ajharuddin336,1,1,,False
SUBRAMA33370328,0,0,,False
brijesh121975,1,1,,False
RoshanK68496635,1,0,,False
ImadeEfosa2,0,0,,False
Rohan56457749,1,2,,False
BikramGoswami17,0,0,,False
SatyamC22096479,0,0,"Lucknow, India",False
SurajSh42378811,1,1,,False
Khus65880903,0,1,,False
AtulSin29150951,0,0,,False
kamuni_saikumar,0,0,,False
PankajS97485794,1,0,Delhi,False
Skrajib39776038,0,0,,False
haqq_abrar,0,0,Jammu And Kashmir,False
Anjali81799610,1,0,,False
lilsanwal,0,0,"Frankfurt on the Main, Germany",False
ShivSha93723047,1,0,Gopiganj Sant Ravidas Nagar Bh,False
Mukesh44715465,0,0,"Fatwah, Bihar",False
Navid41262107,0,0,,False
pabitrabaro10,0,0,,False
kalisanderlin3,0,0,,False
sharath_1111,0,4,"Dhanbad, India",False
asualok,0,2,,False
Roshan02591958,0,0,"Ahmadabad City, India",False
AtHuLSu61103821,1,0,,False
HasanSy38987291,1,1,,False
Fazilhu10368819,0,0,,False
PCBISHNOI16,1,0,,False
Sudhees91621142,2,5,Kanjirapplly,False
sonu131099,0,0,,False
Abutngwana,3,0,,False
ajit_rajesh,6,8,,True
PiscinaschfdaAm,8,5,"Manaus, Brasil",False
mrleo65052695,4,0,,False
Sanjana14275446,0,0,,False
Mohit89513199,0,0,,False
AshishJ58133462,0,0,Ramanujnagar ,False
DeepakK75351098,0,0,,False
kishore41966587,0,1,,False
Richard73628867,0,1,,False
MaheshS44434363,1,0,,False
Manas13133176,0,0,,False
liberty20339844,0,0,,False
Vineetg31882888,1,0,,False
Vijay84164046,0,0,,False
Suraj45217541,0,2,,False
GopalSh94750374,1,0,,False
Manishhchawlaa,0,3,,False
luls_ntambo,1,0,,False
SaiVive79219313,0,0,,False
aryanag44798155,3,0,,False
PradipRanjitBi1,1,0,,False
mosiori_evans,1,0,,False
Pradeep33943663,0,0,,False
__sborah,0,0,,False
Nishant01000422,1,0,"Samastipur, India",False
Sheebu13549463,1,0,,False
DaxSoulful,6,6,Ahmedabad,True
DeepNeelanjan,20,440,,False
HowieYao,0,5,,False
SmartyRayka,0,0,Dharnodhar,False
Salmanabduaziz1,0,0,,False
Milindsikligar2,2,23,,False
RajKuma05013910,0,0,,False
AsimPrakash3,0,0,"Ranchi, India",False
BkiJHfyvcqMa2ms,0,0,,False
AnandaN79321861,0,0,,False
RafiMoh89678832,0,0,,False
MotiShobhit,0,1,,False
PawanKu98368698,0,0,,False
juhi73957133,0,1,"Bhagalpur, India",False
JyothibaD,0,1,India ,False
saravan88295200,0,1,"Ooty, India",False
MomiAvtar,0,0,,False
Raj36224188,1,0,,False
PRITESH93665746,1,0,"Vododara, India",False
ShibbiF,6,1364,India,False
rLkd3f1s8iJpqNV,0,0,,False
drjyotigarje,4,1,,False
shubham73106616,0,1,,False
ShubhaRai6,0,0,,False
milapdave4,0,0,,False
Juhimishra019,1,0,India,False
Vijay07465194,1,0,,False
Anand95435706,0,0,,False
singhomendra762,1,0,,False
PawanSh18002840,0,0,,False
mash_xaba,3,0,,False
USMAAN71237453,0,0,,False
GonardDilip,0,0,,False
Mdsumon00057571,3,4,"Dhaka, Bangladesh",False
rajkishorm1,1,0,"Baleshwar, India",False
Nisarg1432,2,0,,False
AlokMis34630445,0,0,,False
Sathish60909758,1,0,,False
SohailKhatib,2,1,"Shivane, Haveli",False
Shakirqadri7,1,0,,False
